player,position,team,minutes,goals,assists,clean_sheets,yellow_cards,red_cards,bonus,xg,xa,xgi,influence,creativity,threat,ict_index,total_points,value
Chadi Riad Dnanou,DEF,7,90,0,0,0,0,0,0,0.0,0.02,0.02,18.2,1.3,0.0,2.0,1,0.2
Nathaniel Clyne,DEF,7,477,0,0,1,1,0,0,0.02,0.24,0.26,66.6,51.8,8.0,12.4,18,4.2
Eberechi Eze,MID,7,2588,8,8,10,1,0,15,10.39,4.67,15.06,685.0,849.2,691.0,222.4,148,21.1
Marc Guéhi,DEF,7,3059,3,2,11,7,1,11,1.87,2.01,3.88,827.0,237.6,247.0,131.0,116,24.7
Dean Henderson,GK,7,3420,0,0,11,3,0,8,0.01,0.02,0.03,853.6,30.0,4.0,88.6,135,29.3
Will Hughes,MID,7,2100,0,4,10,11,0,3,1.09,2.64,3.73,335.2,462.6,90.0,87.5,67,13.7
Daichi Kamada,MID,7,1545,0,0,3,4,1,0,1.12,1.55,2.67,219.2,314.1,145.0,68.2,45,8.8
Jefferson Lerma Solís,MID,7,2270,0,1,6,9,0,2,1.07,1.75,2.82,401.4,190.2,197.0,78.7,58,12.1
Jean-Philippe Mateta,FWD,7,2642,14,2,9,2,0,27,13.77,2.28,16.05,671.6,405.4,800.0,187.3,150,20.0
Tyrick Mitchell,DEF,7,3090,0,6,12,2,0,4,1.31,3.67,4.98,630.8,559.1,170.0,136.2,123,25.6
Daniel Muñoz,DEF,7,3229,4,6,11,10,0,9,4.92,3.46,8.38,816.6,634.2,524.0,197.6,142,27.3
Jeffrey Schlupp,MID,7,95,0,0,0,0,0,0,0.17,0.14,0.31,22.8,42.9,46.0,11.0,12,2.6
Adam Wharton,MID,7,1314,0,2,4,2,0,0,0.38,2.17,2.55,261.2,381.4,69.0,71.2,42,8.9
Ismaïla Sarr,MID,7,2708,8,7,10,4,0,14,10.82,6.82,17.64,675.0,618.0,866.0,215.9,149,27.1
Justin Devenny,MID,7,494,1,1,0,1,0,1,0.77,0.41,1.18,138.8,101.8,90.0,33.2,34,7.6
Maxence Lacroix,DEF,7,3116,1,2,11,5,0,9,3.5,1.01,4.51,723.8,113.7,277.0,111.4,114,25.3
Romain Esse,MID,7,138,1,2,0,0,0,3,0.32,0.39,0.71,74.8,38.4,51.0,16.4,22,4.7
Armando Broja,FWD,8,327,0,0,2,1,0,0,0.11,0.11,0.22,20.2,53.8,43.0,10.9,12,2.3
Abdoulaye Doucouré,MID,8,2563,3,2,11,3,1,5,4.15,1.41,5.56,352.6,379.4,348.0,107.6,94,18.4
Norberto Bercique Gomes Betuncal,FWD,8,1521,8,0,4,2,0,11,7.89,0.44,8.33,373.2,163.9,666.0,119.5,87,18.1
Jarrad Branthwaite,DEF,8,2509,0,1,9,4,0,3,1.2,0.61,1.81,624.6,57.7,130.0,81.3,88,18.0
Dominic Calvert-Lewin,FWD,8,1602,3,2,8,2,0,3,6.53,0.63,7.16,200.2,126.1,573.0,89.2,63,11.7
Séamus Coleman,DEF,8,214,0,0,0,1,0,0,0.62,0.03,0.65,42.4,3.8,23.0,7.1,5,1.2
Idrissa Gueye,MID,8,3063,0,3,12,9,0,5,1.15,1.99,3.14,522.0,327.2,117.0,96.6,89,18.5
James Garner,MID,8,1590,0,1,5,5,0,0,0.67,1.37,2.04,264.8,248.2,93.0,60.4,42,8.6
Jack Harrison,MID,8,2068,1,3,7,0,0,4,3.54,3.12,6.66,277.0,527.7,288.0,108.6,81,15.6
Tim Iroegbunam,MID,8,562,0,1,0,4,0,0,0.23,0.14,0.37,122.2,40.9,32.0,19.6,22,5.1
Michael Keane,DEF,8,1046,3,0,3,5,0,4,0.61,0.02,0.63,306.6,23.2,123.0,45.4,48,12.6
Dwight McNeil,MID,8,1366,4,8,5,1,0,9,1.05,4.49,5.53,392.0,631.8,207.0,123.3,93,18.2
Vitalii Mykolenko,DEF,8,3082,1,3,11,4,0,9,0.48,2.12,2.6,621.4,428.5,100.0,115.2,121,27.5
Iliman Ndiaye,FWD,8,2426,9,0,15,3,0,21,6.23,1.36,7.59,598.0,326.4,493.0,142.0,114,21.9
Nathan Patterson,DEF,8,342,0,1,0,1,0,0,0.07,0.38,0.45,71.6,70.3,12.0,15.5,14,3.2
Jordan Pickford,GK,8,3420,0,1,12,7,0,15,0.0,0.22,0.22,1052.0,20.3,0.0,107.0,158,30.4
James Tarkowski,DEF,8,2922,1,1,10,6,0,8,1.32,2.33,3.65,859.0,188.8,217.0,126.9,105,22.3
Ashley Young,DEF,8,1864,1,4,9,7,1,9,0.27,2.87,3.14,431.2,388.2,46.0,86.8,98,23.3
Carlos Alcaraz Durán,MID,8,766,2,3,1,4,0,5,1.78,0.68,2.46,219.4,205.7,227.0,65.4,44,9.4
Jesper Lindstrøm,MID,8,1229,0,1,6,2,0,0,2.15,1.96,4.11,214.2,309.6,237.0,76.0,44,8.8
Jake O'Brien,DEF,8,1568,2,0,5,5,0,5,0.77,0.31,1.08,341.4,108.9,109.0,56.0,65,14.4
Roman Dixon,DEF,8,90,0,0,0,0,0,0,0.0,0.0,0.0,15.4,0.3,0.0,1.6,0,0.0
Orel Mangala,MID,8,1257,1,0,5,2,0,0,1.13,0.59,1.72,172.8,133.5,106.0,41.4,39,7.8
Reiss Nelson,MID,9,483,1,1,1,1,0,2,1.07,0.96,2.03,131.6,223.9,195.0,55.1,27,5.4
Emile Smith Rowe,MID,9,2036,6,3,7,3,0,15,4.45,2.04,6.49,433.8,422.3,386.0,124.4,114,22.8
Joachim Andersen,DEF,9,2673,0,0,4,7,1,3,1.04,0.57,1.61,687.6,99.0,162.0,95.0,51,12.1
Adama Traoré,MID,9,1756,2,8,3,3,0,8,4.11,4.61,8.72,385.4,632.1,426.0,144.6,95,21.1
Andreas Hoelgebaum Pereira,MID,9,2004,2,6,5,8,0,2,4.24,4.63,8.87,326.6,868.3,300.0,149.0,81,16.5
Calvin Bassey,DEF,9,3074,1,0,5,7,0,0,1.02,0.42,1.44,587.2,96.7,157.0,84.1,75,16.7
Tom Cairney,MID,9,610,2,0,1,3,1,0,0.73,1.14,1.87,163.8,213.8,94.0,47.2,33,6.9
Timothy Castagne,DEF,9,1642,0,1,3,1,0,0,0.38,0.56,0.94,360.4,163.6,123.0,64.9,46,11.0
Issa Diop,DEF,9,1334,0,0,1,2,0,0,0.51,0.07,0.58,257.6,44.7,83.0,38.3,31,7.2
Alex Iwobi,MID,9,2981,9,6,6,1,0,16,4.33,6.9,11.23,806.8,922.4,699.0,243.0,156,28.9
Bernd Leno,GK,9,3420,0,2,5,5,0,5,0.0,0.03,0.03,967.0,20.0,0.0,98.6,115,23.0
Saša Lukić,MID,9,2348,0,2,4,12,0,1,1.16,1.4,2.56,335.6,455.1,119.0,91.0,56,11.7
Rodrigo Muniz Carvalho,FWD,9,943,8,1,2,1,0,14,5.91,0.2,6.11,352.4,95.3,508.0,95.4,86,15.6
Raúl Jiménez,FWD,9,2486,12,3,7,4,0,26,11.97,2.07,14.04,612.8,372.2,1018.0,199.7,147,27.7
Harrison Reed,MID,9,100,0,0,0,2,0,0,0.23,0.09,0.32,18.6,20.6,33.0,7.1,10,2.1
Antonee Robinson,DEF,9,3166,0,10,5,8,0,8,0.7,4.17,4.87,922.2,723.4,206.0,185.5,106,22.6
Kenny Tete,DEF,9,1773,0,2,3,5,0,0,1.37,0.65,2.02,381.2,192.2,158.0,73.1,49,11.1
Harry Wilson,MID,9,1148,6,2,2,2,0,6,4.19,1.17,5.36,334.6,310.2,440.0,107.8,78,15.0
